model_key,Date,Order_Demand
Product_0031-Whse_J-Category_005,2011-12-15,0.0
Product_0031-Whse_J-Category_005,2012-01-05,5300.0
Product_0031-Whse_J-Category_005,2012-01-06,2900.0
Product_0031-Whse_J-Category_005,2012-01-09,200.0
Product_0031-Whse_J-Category_005,2012-01-10,4800.0
Product_0031-Whse_J-Category_005,2012-01-11,6500.0
Product_0031-Whse_J-Category_005,2012-01-12,1500.0
Product_0031-Whse_J-Category_005,2012-01-13,2000.0
Product_0031-Whse_J-Category_005,2012-01-16,3000.0
Product_0031-Whse_J-Category_005,2012-01-17,2900.0
Product_0031-Whse_J-Category_005,2012-01-18,4500.0
Product_0031-Whse_J-Category_005,2012-01-19,1300.0
Product_0031-Whse_J-Category_005,2012-01-20,1000.0
Product_0031-Whse_J-Category_005,2012-01-23,400.0
Product_0031-Whse_J-Category_005,2012-01-24,8800.0
Product_0031-Whse_J-Category_005,2012-01-25,2800.0
Product_0031-Whse_J-Category_005,2012-01-26,6600.0
Product_0031-Whse_J-Category_005,2012-01-27,3800.0
Product_0031-Whse_J-Category_005,2012-01-30,3300.0
Product_0031-Whse_J-Category_005,2012-01-31,1400.0
Product_0031-Whse_J-Category_005,2012-02-01,3000.0
Product_0031-Whse_J-Category_005,2012-02-02,2000.0
Product_0031-Whse_J-Category_005,2012-02-03,7100.0
Product_0031-Whse_J-Category_005,2012-02-06,8400.0
Product_0031-Whse_J-Category_005,2012-02-07,2100.0
Product_0031-Whse_J-Category_005,2012-02-08,5000.0
Product_0031-Whse_J-Category_005,2012-02-09,1700.0
Product_0031-Whse_J-Category_005,2012-02-10,1800.0
Product_0031-Whse_J-Category_005,2012-02-13,2000.0
Product_0031-Whse_J-Category_005,2012-02-14,7100.0
Product_0031-Whse_J-Category_005,2012-02-15,7700.0
Product_0031-Whse_J-Category_005,2012-02-16,3500.0
Product_0031-Whse_J-Category_005,2012-02-17,1000.0
Product_0031-Whse_J-Category_005,2012-02-20,14500.0
Product_0031-Whse_J-Category_005,2012-02-21,2900.0
Product_0031-Whse_J-Category_005,2012-02-22,1600.0
Product_0031-Whse_J-Category_005,2012-02-23,5700.0
Product_0031-Whse_J-Category_005,2012-02-24,2900.0
Product_0031-Whse_J-Category_005,2012-02-27,1300.0
Product_0031-Whse_J-Category_005,2012-02-28,4700.0
Product_0031-Whse_J-Category_005,2012-02-29,8700.0
Product_0031-Whse_J-Category_005,2012-03-01,1700.0
Product_0031-Whse_J-Category_005,2012-03-02,2100.0
Product_0031-Whse_J-Category_005,2012-03-05,500.0
Product_0031-Whse_J-Category_005,2012-03-06,2200.0
Product_0031-Whse_J-Category_005,2012-03-07,3500.0
Product_0031-Whse_J-Category_005,2012-03-08,3000.0
Product_0031-Whse_J-Category_005,2012-03-09,11200.0
Product_0031-Whse_J-Category_005,2012-03-12,400.0
Product_0031-Whse_J-Category_005,2012-03-13,3300.0
Product_0031-Whse_J-Category_005,2012-03-14,3600.0
Product_0031-Whse_J-Category_005,2012-03-15,1100.0
Product_0031-Whse_J-Category_005,2012-03-16,3500.0
Product_0031-Whse_J-Category_005,2012-03-19,800.0
Product_0031-Whse_J-Category_005,2012-03-21,4800.0
Product_0031-Whse_J-Category_005,2012-03-22,4500.0
Product_0031-Whse_J-Category_005,2012-03-23,5700.0
Product_0031-Whse_J-Category_005,2012-03-26,1000.0
Product_0031-Whse_J-Category_005,2012-03-27,600.0
Product_0031-Whse_J-Category_005,2012-03-28,1500.0
Product_0031-Whse_J-Category_005,2012-03-29,1300.0
Product_0031-Whse_J-Category_005,2012-03-30,3300.0
Product_0031-Whse_J-Category_005,2012-04-01,200.0
Product_0031-Whse_J-Category_005,2012-04-02,2700.0
Product_0031-Whse_J-Category_005,2012-04-03,3000.0
Product_0031-Whse_J-Category_005,2012-04-04,700.0
Product_0031-Whse_J-Category_005,2012-04-05,200.0
Product_0031-Whse_J-Category_005,2012-04-06,500.0
Product_0031-Whse_J-Category_005,2012-04-08,1000.0
Product_0031-Whse_J-Category_005,2012-04-09,2200.0
Product_0031-Whse_J-Category_005,2012-04-10,3000.0
Product_0031-Whse_J-Category_005,2012-04-11,7700.0
Product_0031-Whse_J-Category_005,2012-04-12,5500.0
Product_0031-Whse_J-Category_005,2012-04-13,3000.0
Product_0031-Whse_J-Category_005,2012-04-16,2300.0
Product_0031-Whse_J-Category_005,2012-04-17,5500.0
Product_0031-Whse_J-Category_005,2012-04-18,1100.0
Product_0031-Whse_J-Category_005,2012-04-19,4900.0
Product_0031-Whse_J-Category_005,2012-04-20,1100.0
Product_0031-Whse_J-Category_005,2012-04-23,1300.0
Product_0031-Whse_J-Category_005,2012-04-24,2100.0
Product_0031-Whse_J-Category_005,2012-04-25,3200.0
Product_0031-Whse_J-Category_005,2012-04-26,4600.0
Product_0031-Whse_J-Category_005,2012-04-27,1300.0
