,Order_Demand
2012-01-05,24100.0
2012-01-06,23100.0
2012-01-07,0.0
2012-01-08,0.0
2012-01-09,0.0
2012-01-10,21000.0
2012-01-11,21000.0
2012-01-12,21300.0
2012-01-13,9000.0
2012-01-14,0.0
2012-01-15,0.0
2012-01-16,5000.0
2012-01-17,50500.0
2012-01-18,38200.0
2012-01-19,15200.0
2012-01-20,18000.0
2012-01-21,0.0
2012-01-22,0.0
2012-01-23,24400.0
2012-01-24,69000.0
2012-01-25,11700.0
2012-01-26,17600.0
2012-01-27,80300.0
2012-01-28,0.0
2012-01-29,0.0
2012-01-30,30100.0
2012-01-31,21500.0
2012-02-01,23800.0
2012-02-02,26500.0
2012-02-03,300.0
2012-02-04,0.0
2012-02-05,0.0
2012-02-06,4000.0
2012-02-07,25000.0
2012-02-08,53000.0
2012-02-09,4100.0
2012-02-10,45500.0
2012-02-11,0.0
2012-02-12,0.0
2012-02-13,53000.0
2012-02-14,13000.0
2012-02-15,4200.0
2012-02-16,22000.0
2012-02-17,500.0
2012-02-18,0.0
2012-02-19,0.0
2012-02-20,40200.0
2012-02-21,35100.0
2012-02-22,5300.0
2012-02-23,0.0
2012-02-24,12100.0
2012-02-25,0.0
2012-02-26,0.0
2012-02-27,5000.0
2012-02-28,21000.0
2012-02-29,1500.0
2012-03-01,20100.0
2012-03-02,34000.0
2012-03-03,0.0
2012-03-04,0.0
2012-03-05,12000.0
2012-03-06,16000.0
2012-03-07,31200.0
2012-03-08,56000.0
2012-03-09,21100.0
2012-03-10,0.0
2012-03-11,0.0
2012-03-12,21100.0
2012-03-13,30000.0
2012-03-14,6300.0
2012-03-15,53000.0
2012-03-16,2000.0
2012-03-17,0.0
2012-03-18,0.0
2012-03-19,51600.0
2012-03-20,0.0
2012-03-21,0.0
2012-03-22,14100.0
2012-03-23,0.0
2012-03-24,0.0
2012-03-25,0.0
2012-03-26,41800.0
2012-03-27,52000.0
2012-03-28,7500.0
2012-03-29,10100.0
2012-03-30,0.0
2012-03-31,0.0
2012-04-01,2000.0
2012-04-02,3000.0
2012-04-03,5000.0
2012-04-04,100.0
2012-04-05,19000.0
2012-04-06,12000.0
2012-04-07,0.0
2012-04-08,0.0
2012-04-09,58000.0
2012-04-10,5500.0
2012-04-11,3000.0
2012-04-12,5000.0
2012-04-13,21100.0
2012-04-14,0.0
2012-04-15,0.0
2012-04-16,13000.0
2012-04-17,42000.0
2012-04-18,1400.0
2012-04-19,27400.0
2012-04-20,300.0
2012-04-21,0.0
2012-04-22,0.0
2012-04-23,13700.0
2012-04-24,11500.0
2012-04-25,3000.0
2012-04-26,44100.0
2012-04-27,37100.0
2012-04-28,0.0
2012-04-29,0.0
2012-04-30,0.0
2012-05-01,23700.0
2012-05-02,5500.0
2012-05-03,0.0
2012-05-04,0.0
2012-05-05,0.0
2012-05-06,0.0
2012-05-07,23000.0
2012-05-08,14100.0
2012-05-09,1000.0
2012-05-10,14000.0
2012-05-11,6100.0
2012-05-12,0.0
2012-05-13,0.0
2012-05-14,23500.0
2012-05-15,31000.0
2012-05-16,100.0
2012-05-17,90000.0
2012-05-18,0.0
2012-05-19,0.0
2012-05-20,0.0
2012-05-21,24000.0
2012-05-22,3500.0
2012-05-23,7500.0
2012-05-24,43500.0
2012-05-25,21900.0
2012-05-26,0.0
2012-05-27,0.0
2012-05-28,62000.0
2012-05-29,3000.0
2012-05-30,2000.0
2012-05-31,0.0
2012-06-01,50000.0
2012-06-02,0.0
2012-06-03,0.0
2012-06-04,100.0
2012-06-05,20000.0
2012-06-06,46000.0
2012-06-07,0.0
2012-06-08,0.0
2012-06-09,0.0
2012-06-10,0.0
2012-06-11,6500.0
2012-06-12,24000.0
2012-06-13,33100.0
2012-06-14,23000.0
2012-06-15,14000.0
2012-06-16,0.0
2012-06-17,0.0
2012-06-18,9000.0
2012-06-19,23000.0
2012-06-20,5000.0
2012-06-21,20000.0
2012-06-22,20100.0
2012-06-23,0.0
2012-06-24,0.0
2012-06-25,0.0
2012-06-26,5500.0
2012-06-27,31000.0
2012-06-28,23000.0
2012-06-29,14500.0
2012-06-30,0.0
2012-07-01,0.0
2012-07-02,7100.0
2012-07-03,14300.0
2012-07-04,63000.0
2012-07-05,17000.0
2012-07-06,13300.0
2012-07-07,0.0
2012-07-08,0.0
2012-07-09,1000.0
2012-07-10,27300.0
2012-07-11,0.0
2012-07-12,24000.0
2012-07-13,5100.0
2012-07-14,0.0
2012-07-15,0.0
2012-07-16,0.0
2012-07-17,600.0
2012-07-18,30500.0
2012-07-19,2000.0
2012-07-20,3000.0
2012-07-21,0.0
2012-07-22,0.0
2012-07-23,25000.0
2012-07-24,0.0
2012-07-25,1000.0
2012-07-26,22100.0
2012-07-27,20600.0
2012-07-28,0.0
2012-07-29,0.0
2012-07-30,2000.0
2012-07-31,15000.0
2012-08-01,15000.0
2012-08-02,2000.0
2012-08-03,57500.0
2012-08-04,0.0
2012-08-05,0.0
2012-08-06,2000.0
2012-08-07,34200.0
2012-08-08,17000.0
2012-08-09,40000.0
2012-08-10,5100.0
2012-08-11,0.0
2012-08-12,0.0
2012-08-13,0.0
2012-08-14,0.0
2012-08-15,0.0
2012-08-16,15000.0
2012-08-17,500.0
2012-08-18,0.0
2012-08-19,0.0
2012-08-20,24500.0
2012-08-21,29700.0
2012-08-22,20000.0
2012-08-23,17700.0
2012-08-24,1600.0
2012-08-25,0.0
2012-08-26,0.0
2012-08-27,21000.0
2012-08-28,8900.0
2012-08-29,2800.0
2012-08-30,5000.0
2012-08-31,52000.0
2012-09-01,0.0
2012-09-02,0.0
2012-09-03,3000.0
2012-09-04,81100.0
2012-09-05,21000.0
2012-09-06,3000.0
2012-09-07,3000.0
2012-09-08,0.0
2012-09-09,0.0
2012-09-10,19000.0
2012-09-11,20300.0
2012-09-12,3000.0
2012-09-13,83100.0
2012-09-14,55200.0
2012-09-15,0.0
2012-09-16,0.0
2012-09-17,0.0
2012-09-18,1000.0
2012-09-19,2000.0
2012-09-20,8000.0
2012-09-21,2000.0
2012-09-22,0.0
2012-09-23,0.0
2012-09-24,50500.0
2012-09-25,20000.0
2012-09-26,24000.0
2012-09-27,300.0
2012-09-28,19000.0
2012-09-29,0.0
2012-09-30,0.0
2012-10-01,26500.0
2012-10-02,37000.0
2012-10-03,17300.0
2012-10-04,2700.0
2012-10-05,9200.0
2012-10-06,0.0
2012-10-07,0.0
2012-10-08,0.0
2012-10-09,15200.0
2012-10-10,20000.0
2012-10-11,3000.0
2012-10-12,17000.0
2012-10-13,0.0
2012-10-14,0.0
2012-10-15,40000.0
2012-10-16,7400.0
2012-10-17,39500.0
2012-10-18,0.0
2012-10-19,11000.0
2012-10-20,0.0
2012-10-21,0.0
2012-10-22,1000.0
2012-10-23,20000.0
2012-10-24,6600.0
2012-10-25,40000.0
2012-10-26,0.0
2012-10-27,0.0
2012-10-28,0.0
2012-10-29,0.0
2012-10-30,10000.0
2012-10-31,7300.0
2012-11-01,10500.0
2012-11-02,1000.0
2012-11-03,0.0
2012-11-04,0.0
2012-11-05,39000.0
2012-11-06,13500.0
2012-11-07,20000.0
2012-11-08,40500.0
2012-11-09,62000.0
2012-11-10,0.0
2012-11-11,0.0
2012-11-12,10000.0
2012-11-13,1000.0
2012-11-14,5000.0
2012-11-15,3600.0
2012-11-16,9400.0
2012-11-17,0.0
2012-11-18,0.0
2012-11-19,0.0
2012-11-20,56000.0
2012-11-21,22300.0
2012-11-22,17000.0
2012-11-23,0.0
2012-11-24,0.0
2012-11-25,0.0
2012-11-26,26000.0
2012-11-27,13000.0
2012-11-28,18500.0
2012-11-29,10800.0
2012-11-30,31000.0
2012-12-01,0.0
2012-12-02,0.0
2012-12-03,77000.0
2012-12-04,5000.0
2012-12-05,26200.0
2012-12-06,63400.0
2012-12-07,4000.0
2012-12-08,0.0
2012-12-09,0.0
2012-12-10,4300.0
2012-12-11,10100.0
2012-12-12,21000.0
2012-12-13,68200.0
2012-12-14,18200.0
2012-12-15,0.0
2012-12-16,0.0
2012-12-17,25000.0
2012-12-18,33000.0
2012-12-19,700.0
2012-12-20,200.0
2012-12-21,17500.0
2012-12-22,0.0
2012-12-23,0.0
2012-12-24,0.0
2012-12-25,40000.0
2012-12-26,20800.0
2012-12-27,53100.0
2012-12-28,1000.0
2012-12-29,0.0
2012-12-30,0.0
2012-12-31,0.0
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-05,0.0
2013-01-06,0.0
2013-01-07,10000.0
2013-01-08,100.0
2013-01-09,42000.0
2013-01-10,3000.0
2013-01-11,1900.0
2013-01-12,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,8300.0
2013-01-16,40000.0
2013-01-17,42000.0
2013-01-18,13300.0
2013-01-19,0.0
2013-01-20,0.0
2013-01-21,22000.0
2013-01-22,33200.0
2013-01-23,21000.0
2013-01-24,28000.0
2013-01-25,10000.0
2013-01-26,0.0
2013-01-27,0.0
2013-01-28,21900.0
2013-01-29,27200.0
2013-01-30,6200.0
2013-01-31,300.0
2013-02-01,6600.0
2013-02-02,0.0
2013-02-03,20000.0
2013-02-04,19700.0
2013-02-05,18900.0
2013-02-06,42100.0
2013-02-07,27000.0
2013-02-08,36000.0
2013-02-09,0.0
2013-02-10,0.0
2013-02-11,0.0
2013-02-12,30500.0
2013-02-13,70500.0
2013-02-14,1200.0
2013-02-15,3300.0
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,2100.0
2013-02-19,10200.0
2013-02-20,0.0
2013-02-21,800.0
2013-02-22,2000.0
